stop_id,graph_degree,degree_centrality,closeness,betweenness,in_largest_component,name,stop_lat,stop_lon,hub_station,station_cluster,is_hub,is_station,route_count,routes_serving,max_pax_per_vehicle_hour_2024_serving_route,pagerank
5798,2,0.0002390057361376,0.0263631819676104,0.0001147437523138,True,Kingston Rd at Glen Everest Rd East Side,43.69801,-79.256199,,,False,False,1,316,,0.0001219034266422
9568,2,0.0002390057361376,0.0270415210430082,0.0002223091879538,True,2121 Kingston Rd,43.700849,-79.254485,,,False,False,1,316,,0.0001206222840945
43145,3,0.0003585086042065,0.0277815968062592,0.0003966836624453,True,Kingston Rd at Cliffside Dr East Side,43.704175,-79.252507,,,False,False,3,"12,316,69",,0.0
1853,2,0.0002390057361376,0.0270876641336269,0.0,True,Kingston Rd at Ridgemoor Ave,43.706146,-79.251174,,,False,False,3,"12,316,69",,0.0001234148449358
302,2,0.0002390057361376,0.0277998530167381,5.868396939522225e-05,True,Kingston Rd at Sandown Ave,43.70858,-79.249674,,,False,False,3,"12,316,69",,0.0001211387038158
7564,2,0.0002390057361376,0.0285678252904379,0.0001782011201063,True,Kingston Rd at Midland Ave,43.710777,-79.248216,,,False,False,3,"12,316,69",,0.0
10332,2,0.0002390057361376,0.0293866852010369,0.0002977182708174,True,Kingston Rd at Chine Dr,43.713921,-79.245046,,,False,False,3,"12,316,69",,0.0
42627,2,0.0002390057361376,0.0302626621748388,0.0004172354215286,True,2661 Kingston Rd,43.715423,-79.243365,,,False,False,3,"12,316,69",,0.0
8151,3,0.0003585086042065,0.0311955027468281,0.0010059996711031,True,Brimley Rd at Kingston Rd North Side,43.719185,-79.240657,,,False,False,4,"12,201,316,69",,0.0
2656,3,0.0003585086042065,0.0321820884533773,0.0012457304070502,True,Brimley Rd at St Clair Ave East,43.720738,-79.241307,,,False,False,4,"12,201,316,69",,0.0
2421,2,0.0002390057361376,0.031240640915282,7.624834765292578e-05,True,Brimley Rd at Mandarin Rd,43.722455,-79.241999,,,False,False,3,"12,201,316",,8.682562327545403e-05
8355,2,0.0002390057361376,0.0310607517174984,4.154643810434416e-05,True,Brimley Rd at Anson Ave,43.724347,-79.242793,,,False,False,3,"12,201,316",,0.0
8737,2,0.0002390057361376,0.0315481170626715,9.249848656540356e-05,True,Brimley Rd at Oakridge Dr,43.725802,-79.243379,,,False,False,3,"12,201,316",,0.0001865366306359
8179,2,0.0002390057361376,0.0325238231386056,0.0002000639222054,True,Brimley Rd at Skagway Ave,43.728252,-79.244397,,,False,False,3,"12,201,316",,0.0
10244,2,0.0002390057361376,0.0335818227606322,0.0003118978275136,True,Brimley Rd at Lombardy Cres North Side,43.73219,-79.246028,,,False,False,3,"12,201,316",,0.0
1932,3,0.0003585086042065,0.0347271696529333,0.0015134329081845,True,Brimley Rd at Danforth Rd,43.735116,-79.247234,,,False,False,3,"12,201,316",,0.0001840946134308
4204,2,0.0002390057361376,0.0335655925358908,0.0009642081671159,True,Brimley Rd at Eglinton Ave East,43.735946,-79.247582,,,False,False,1,316,,0.0001128477892784
6354,3,0.0003585086042065,0.0324817384959188,0.0008446910164048,True,Danforth Rd at Trudelle St,43.739516,-79.245412,,,False,False,2,"16,316",,0.0001198463271291
21398,2,0.0002390057361376,0.0314693748303775,0.0002937588874688,True,Danforth Rd at Savarin St,43.742971,-79.245029,,,False,False,2,"16,316",,0.0
831,2,0.0002390057361376,0.0306287974785881,0.0001830632407388,True,Danforth Rd at Carslake Cres South,43.746255,-79.244464,,,False,False,2,"16,316",,0.0
2530,2,0.0002390057361376,0.0301220002325061,0.0001261503118287,True,Danforth Rd at Seminole Ave North Side,43.748003,-79.244427,,,False,False,2,"16,316",,8.481196051431125e-05
1693,2,0.0002390057361376,0.0299483776639674,0.0001170442432031,True,Danforth Rd at Hollyhedge Dr South,43.75106,-79.244335,,,False,False,2,"16,316",,0.0
9757,2,0.0002390057361376,0.0298889820657127,0.0001229799698272,True,McCowan Rd at Hollyhedge Dr (North),43.753466,-79.244573,,,False,False,2,"16,316",,0.0
7076,2,0.0002390057361376,0.0300358040016177,0.0001880570991363,True,McCowan Rd at Lawrence Ave East Scarborough General Hospital,43.755237,-79.245257,,,False,False,2,"16,316",,0.0001162393054269
8707,2,0.0002390057361376,0.0309265859785543,0.0003038268660867,True,McCowan Rd at Benleigh Dr,43.758218,-79.245956,,,False,False,2,"16,316",,0.0001080087423717
5543,2,0.0002390057361376,0.0318986570634099,0.0004233440167978,True,McCowan Rd at St Andrews Rd,43.760033,-79.246725,,,False,False,2,"16,316",,0.0001211387038158
9086,2,0.0002390057361376,0.0329411083736981,0.000542861167509,True,McCowan Rd at Bellechasse St North Side,43.761348,-79.247246,,,False,False,2,"16,316",,7.926723394428346e-05
1300,2,0.0002390057361376,0.0340573362987784,0.0006623783182201,True,McCowan Rd at Brimorton Dr,43.765254,-79.248748,,,False,False,2,"16,316",,4.789460568883793e-05
1904,3,0.0003585086042065,0.036498675368659,0.0016631968394567,True,McCowan Rd at Ellesmere Rd,43.771981,-79.251352,,,False,False,2,"16,316",,0.0
42511,2,0.0002390057361376,0.035570992459565,0.0,True,McCowan Rd at Bushby Dr,43.774435,-79.252079,McCowan Station,McCowan Rt Station,True,True,1,316,,0.0
7177,3,0.0003585086042065,0.0357493631557835,0.007843442985542,True,McCowan Rd at Nugget Ave,43.791895,-79.259599,,,False,False,4,"129,130,169,316",,8.590616594086169e-05
749,2,0.0002390057361376,0.0345436458289108,0.0072441640723513,True,McCowan Rd at Commander Blvd North Side,43.796506,-79.261528,,,False,False,3,"129,130,316",,0.0
5159,3,0.0003585086042065,0.0334188833003671,0.0071246469216401,True,McCowan Rd at Middlefield Rd,43.798532,-79.262287,,,False,False,3,"129,130,316",,0.0001307222106764
4683,2,0.0002390057361376,0.0323534977127828,0.0044016174654396,True,McCowan Rd at Kenhatch Blvd,43.801324,-79.263574,,,False,False,2,"129,316",,0.0
10614,2,0.0002390057361376,0.0313539419361143,0.0042821003147284,True,McCowan Rd at Sandhurst Cir (South),43.804979,-79.265073,,,False,False,2,"129,316",,0.0001209585170552
10620,2,0.0002390057361376,0.0304142974207033,0.0041625831640173,True,McCowan Rd at Finch Ave East,43.807878,-79.266239,,,False,False,2,"129,316",,0.0
10412,2,0.0002390057361376,0.0295293344636053,0.0040430660133062,True,McCowan Rd at Finch Ave East North Side,43.808611,-79.266562,,,False,False,2,"129,316",,0.0001285267939951
4723,2,0.0002390057361376,0.0286944148254856,0.0039235488625951,True,McCowan Rd at Sandhurst Cir (North),43.811462,-79.268977,,,False,False,2,"129,316",,0.0001065602759388
