stop_name,entity_type,platform_stop_count,graph_degree,Degree,Closeness,Betweenness,route_count,routes_serving,member_stop_ids
Dupont Station,station,7,10,0.001371553970648745,0.051841072128725116,0.07968417017356458,3,"1,127,26","8122,7350,1028,1027,13828,1013,7956"
Downsview Park Station,station,4,12,0.001645864764778494,0.0486206996031948,0.07533371648661216,7,"1,101,106,108,384,84,984","3106,15664,15631,3303"
Glencairn Station,station,3,6,0.000822932382389247,0.05253930114327791,0.07458543075866346,2,"1,14","3665,3666,13833"
Don Mills Station,station,16,14,0.001920175558908243,0.04804877444085691,0.07435618717537418,12,"10,167,169,185,25,325,385,4,85,904,925,985","14623,14625,14626,14629,14630,14631,14632,14633,14949,14109,15330,1970,6349,7178,7226,15163"
Bayview Station,station,6,8,0.001097243176518996,0.05038942880200958,0.0684229495724823,4,"11,185,385,4","7152,317,7151,13843,7148,13561"
Scarborough Centre Station,station,9,8,0.001097243176518996,0.041317134977887165,0.06643964178546717,16,"129,130,131,132,133,134,16,169,21,38,406,9,903,904,939,996","14758,14759,14760,14761,14766,14768,14769,15002,16333"
Leslie Station,station,11,10,0.001371553970648745,0.04863759329667839,0.06489544462888808,5,"151,185,385,4,51","7242,7204,14620,14621,13848,13847,5476,7203,9166,9167,13691"
Guildwood GO Station,station,2,6,0.000822932382389247,0.040651660007340044,0.06470689228681926,4,"386,86,905,986","15906,15907"
Bessarion Station,station,5,6,0.000822932382389247,0.04934885144910403,0.0626458213657842,3,"185,385,4","13677,13678,13846,7156,7157"
Jane and Finch Station,station,5,12,0.001645864764778494,0.04315300029994423,0.05079980454095455,6,"335,336,35,6,935,99","16315,2606,3890,3891,16517"
Sentinel Station,station,6,10,0.001371553970648745,0.04634390180876894,0.0491677219766102,3,"106,336,6","16321,2628,2629,8080,8081,8082"
Yorkdale Station,station,4,6,0.000822932382389247,0.052081058202773936,0.048564419559599455,3,"1,109,18","1677,6932,13837,6390"
Davisville Station,station,11,10,0.001371553970648745,0.05253095952538353,0.047543846033111,6,"1,11,14,28,320,97","14646,14648,13798,766,1669,1670,1882,1883,9879,10797,10800"
Driftwood Station,station,5,6,0.000822932382389247,0.044072444524063295,0.047003509254466634,3,"108,336,6","16317,1999,2000,2593,2594"
Humber College Station,station,4,10,0.001371553970648745,0.037396887298703746,0.046562139004513003,6,"336,6,906,927,96,996","16289,16290,11272,11273"
St Clair Station,station,9,10,0.001371553970648745,0.051380727740875105,0.045821516743744246,7,"1,312,320,512,74,88,97","9053,14778,14819,13799,14818,15306,15304,9040,14345"
Tobermory Station,station,3,4,0.000548621588259498,0.04507347074526474,0.04553361553270059,2,"336,6","16319,2636,2637"
Rosedale Station,station,6,8,0.001097243176518996,0.05126240316626848,0.04543549448882684,3,"1,320,82","9037,3219,14750,13803,3211,16000"
Emery Station,station,9,13,0.0017830201618433683,0.04016889210084594,0.043189011080536244,7,"119,165,166,336,384,6,989","16309,16310,2643,7761,8722,8723,9104,9246,16505"
Summerhill Station,station,3,6,0.000822932382389247,0.05101915538854361,0.04207629138860187,2,"1,320","9043,8953,13802"
Museum Station,station,5,7,0.0009600877794541215,0.0506827434921166,0.038650635951967036,3,"1,13,300","1456,1458,13825,48,573"
Norfinch Oakdale Station,station,4,4,0.000548621588259498,0.04193603268689028,0.037572423937131304,3,"336,6,99","16313,16314,2621,2622"
Signet Arrow Station,station,5,3,0.0004114661911946235,0.040970854581957386,0.03741665047231041,3,"336,6,99","16311,16312,7497,16570,16571"
Wellesley Station,station,7,9,0.0012343985735838703,0.04980775504368556,0.03652670881009547,3,"1,320,94","3246,3245,14797,14798,13806,8639,8640"
Queen's Park Station,station,4,8,0.001097243176518996,0.04846789187515344,0.034569542254763996,4,"1,13,306,506","847,841,13824,1460"
Martin Grove Station,station,8,10,0.001371553970648745,0.03590988217972341,0.030412430809644217,5,"336,396,46,6,927","16293,16294,2616,2617,5615,5616,11331,16511"
