stop_id,graph_degree,Degree,Closeness,Betweenness,in_largest_component,stop_name,stop_lat,stop_lon,station_cluster,is_station,route_count,routes_serving,is_major_hub_cluster,max_pax_per_vehicle_hour_2024_serving_route
2269,2,0.00024829298572315333,0.0448890998703711,4.24794834978879e-05,True,Eglinton Ave East at Falcon St West Side,43.709168,-79.386703,,False,3,"334,34,354",False,51.4
2295,8,0.0009931719428926133,0.046980715132616875,0.00017296814074145434,True,Eglinton Ave East at Mt Pleasant Rd,43.708536,-79.389991,Mount Pleasant Station,False,3,"334,34,354",False,51.4
2395,3,0.00037243947858473,0.046132693620543994,7.839989185014562e-05,True,Eglinton Ave West at Oriole Pkwy,43.705239,-79.40593,,False,3,"334,34,61",False,51.4
2324,6,0.00074487895716946,0.047498431892812595,0.0001923656360261912,True,Eglinton Ave West at Avenue Rd West Side,43.704544,-79.409134,Avenue Station,False,2,"334,34",False,51.4
2336,2,0.00024829298572315333,0.04535895459185842,3.22158761691913e-05,True,Eglinton Ave West at Castle Knock Rd,43.704064,-79.4114,,False,2,"334,34",False,51.4
2359,2,0.00024829298572315333,0.0451303998455464,2.7587619353676407e-05,True,Eglinton Ave West at Heddington Ave,43.703573,-79.413714,,False,2,"334,34",False,51.4
16201,10,0.0012414649286157666,0.047245369564399134,0.00011953365031137858,True,Eglinton Ave West at Gilgorm Rd,43.702919,-79.416849,Chaplin Station,False,2,"334,34",False,51.4
2410,10,0.0012414649286157666,0.047245369564399134,6.941649248235938e-05,True,Eglinton Ave West at Spadina Rd,43.702476,-79.418838,Chaplin Station,False,2,"334,34",False,51.4
2392,3,0.00037243947858473,0.04696617520057543,5.0996561603340314e-05,True,Eglinton Ave West at Old Park Rd,43.699989,-79.430703,,False,2,"334,34",False,51.4
2354,2,0.00024829298572315333,0.04604263918845095,5.587285820710207e-07,True,Eglinton Ave West at Glenarden Rd,43.699564,-79.432546,,False,1,334,False,
