display_name,entity_type,Degree,Closeness,Betweenness,route_count,platform_stop_count
Lawrence West Station,station,0.001371553970648745,0.05342977162692622,0.1389600704407368,6,6
Don Valley Station,station,0.0017830201618433683,0.04993040983924253,0.13492678128547136,14,12
Dufferin Station,station,0.001645864764778494,0.04746754052961124,0.13428871871103332,6,7
Runnymede Station,station,0.001097243176518996,0.04323913045148473,0.13389758545220765,5,8
Mount Pleasant Station,station,0.001371553970648745,0.05297404744732287,0.13291597964766147,6,7
High Park Station,station,0.0009600877794541215,0.04434415854956682,0.1327599650603683,5,7
Bathurst Station,station,0.001097243176518996,0.05049289283079304,0.1320382193374462,6,7
Leaside Station,station,0.001371553970648745,0.05186988668011782,0.12924417007150824,5,6
Royal York Station,station,0.001371553970648745,0.04000706230849384,0.12868457872628142,8,9
Ossington Station,station,0.0012343985735838703,0.04830930769931504,0.12800397920321327,6,8
Old Mill Station,station,0.000822932382389247,0.0411113147116974,0.12727702934331514,4,5
Lansdowne Station,station,0.0015087093677136195,0.04652518607884984,0.12619036562199382,4,8
Christie Station,station,0.000822932382389247,0.04924968495916247,0.12490194761933443,3,5
Laird Station,station,0.001371553970648745,0.0510947202223366,0.12426363546586357,7,6
Oakwood Station,station,0.001097243176518996,0.051920574468378285,0.12245202445020024,5,6
Keelesdale Station,station,0.002194486353037992,0.049026772665146455,0.12107619694943172,8,9
Sunnybrook Park Station,station,0.000822932382389247,0.05041176345890183,0.12089254504970119,5,5
Fairbank Station,station,0.001920175558908243,0.05089216753079323,0.12043108225520355,6,7
O'Connor Station,station,0.0017830201618433683,0.04635009893784095,0.11615514854082135,7,9
Mount Dennis Station,station,0.0017830201618433683,0.04799206794703202,0.11322992874761241,13,17
Dundas West Station,station,0.0009600877794541215,0.04576119785995847,0.11303464051761007,9,8
Finch Station,station,0.001920175558908243,0.048612906471437976,0.11268942034202044,14,20
Islington Station,station,0.0017830201618433683,0.03897413828926348,0.11053531681956284,8,11
Sloane Station,station,0.001371553970648745,0.04711726512647856,0.10929173173320864,4,8
Wynford Station,station,0.001097243176518996,0.04793833640185651,0.10891639326367546,4,7
Caledonia Station,station,0.0012343985735838703,0.049877379007484644,0.1076735890448503,5,6
Aga Khan Park & Museum Station,station,0.000274310794129749,0.04887632825205835,0.10704759685968739,3,4
Finch West Station,station,0.002194486353037992,0.048021830077084875,0.09383268022366012,10,12
Sheppard West Station,station,0.001371553970648745,0.0499578247365826,0.09264298106163278,10,13
Kipling Station,station,0.0024687971471677407,0.03825377564664179,0.09137277669812095,14,16
Avenue Station,station,0.0012343985735838703,0.05325737464949438,0.08884308222063539,5,5
North York Centre Station,station,0.0006857769853243725,0.05017442779267335,0.08669092116827579,3,6
Weston GO Station,station,0.002194486353037992,0.04470034965361271,0.08600354794896399,7,10
Forest Hill Station,station,0.001371553970648745,0.05278389680783668,0.08339942742647947,6,6
Chaplin Station,station,0.001645864764778494,0.05272960025494983,0.08301707585183592,5,10
St Clair West Station,station,0.0009600877794541215,0.05209186695860917,0.08301422708737462,6,6
Dupont Station,station,0.001371553970648745,0.051841072128725116,0.07968417017356458,3,7
Downsview Park Station,station,0.001645864764778494,0.0486206996031948,0.07533371648661216,7,4
Glencairn Station,station,0.000822932382389247,0.05253930114327791,0.07458543075866346,2,3
Don Mills Station,station,0.001920175558908243,0.04804877444085691,0.07435618717537418,12,16
Bayview Station,station,0.001097243176518996,0.05038942880200958,0.0684229495724823,4,6
Scarborough Centre Station,station,0.001097243176518996,0.041317134977887165,0.06643964178546717,16,9
Leslie Station,station,0.001371553970648745,0.04863759329667839,0.06489544462888808,5,11
Guildwood GO Station,station,0.000822932382389247,0.040651660007340044,0.06470689228681926,4,2
Bessarion Station,station,0.000822932382389247,0.04934885144910403,0.0626458213657842,3,5
Jane and Finch Station,station,0.001645864764778494,0.04315300029994423,0.05079980454095455,6,5
Sentinel Station,station,0.001371553970648745,0.04634390180876894,0.0491677219766102,3,6
Yorkdale Station,station,0.000822932382389247,0.052081058202773936,0.048564419559599455,3,4
Davisville Station,station,0.001371553970648745,0.05253095952538353,0.047543846033111,6,11
Driftwood Station,station,0.000822932382389247,0.044072444524063295,0.047003509254466634,3,5
Humber College Station,station,0.001371553970648745,0.037396887298703746,0.046562139004513003,6,4
St Clair Station,station,0.001371553970648745,0.051380727740875105,0.045821516743744246,7,9
Tobermory Station,station,0.000548621588259498,0.04507347074526474,0.04553361553270059,2,3
Rosedale Station,station,0.001097243176518996,0.05126240316626848,0.04543549448882684,3,6
Emery Station,station,0.0017830201618433683,0.04016889210084594,0.043189011080536244,7,9
Summerhill Station,station,0.000822932382389247,0.05101915538854361,0.04207629138860187,2,3
Museum Station,station,0.0009600877794541215,0.0506827434921166,0.038650635951967036,3,5
Norfinch Oakdale Station,station,0.000548621588259498,0.04193603268689028,0.037572423937131304,3,4
Signet Arrow Station,station,0.0004114661911946235,0.040970854581957386,0.03741665047231041,3,5
Wellesley Station,station,0.0012343985735838703,0.04980775504368556,0.03652670881009547,3,7
Queen's Park Station,station,0.001097243176518996,0.04846789187515344,0.034569542254763996,4,4
Martin Grove Station,station,0.001371553970648745,0.03590988217972341,0.030412430809644217,5,8
Golden Mile Station,station,0.001371553970648745,0.043472837334382244,0.030101645754878677,5,7
College Station,station,0.0012343985735838703,0.04767896754108153,0.029478749756529855,4,6
Old Cummer GO Station,station,0.001097243176518996,0.0434660878612376,0.029051465176031084,4,7
St Patrick Station,station,0.000822932382389247,0.04644325515759237,0.02871554450070683,3,5
Milvan Rumike Station,station,0.0006857769853243725,0.03905443654446694,0.028074114043095868,3,4
Steeles Ave East at Milliken GO Station,station,0.0009600877794541215,0.033364677824556155,0.027030545328064908,6,2
Westmore Station,station,0.000822932382389247,0.036481302969494325,0.025753851359946418,2,4
TMU Station,station,0.001371553970648745,0.045729861268764334,0.025735182380727528,4,7
McCowan Rt Station,station,0.001371553970648745,0.03981863054197006,0.025519935835134934,10,6
Osgoode Station,station,0.0006857769853243725,0.044594094993471056,0.02539546418075636,3,4
Birchmount Station,station,0.000822932382389247,0.042847921695280754,0.025264991845956944,4,5
Rowntree Mills Station,station,0.0009600877794541215,0.03652377098067836,0.025094630095132513,4,6
Queen Station,station,0.000822932382389247,0.04473551389937002,0.024456880086614244,3,6
Pioneer Village Station,station,0.001920175558908243,0.04476357504209024,0.023621513134599023,12,12
Duncanwoods Station,station,0.000274310794129749,0.0380494131727214,0.023209536633793996,2,4
Pearldale Station,station,0.000274310794129749,0.03725276971055705,0.02304547084871902,2,4
Union Station,station,0.001097243176518996,0.042079308010580775,0.022283553446105546,9,9
Albion Station,station,0.000822932382389247,0.03542025915599839,0.021971748204705786,3,6
King Station,station,0.001371553970648745,0.042988872968198616,0.021769530322883025,7,10
Mount Olive Station,station,0.0009600877794541215,0.035855577524121066,0.021246623767217362,4,7
Ionview Station,station,0.0004114661911946235,0.04293385005069184,0.019486026354571993,3,6
St Andrew Station,station,0.000822932382389247,0.04285927481140103,0.018303604094700977,4,4
Pharmacy Station,station,0.0009600877794541215,0.04474211335559042,0.01794056006717714,5,6
Stevenson Station,station,0.000274310794129749,0.03556042159317954,0.016884597226691684,2,4
Agincourt GO Station,station,0.000822932382389247,0.041287840189645396,0.01647059654120576,4,2
Danforth GO Station,station,0.0012343985735838703,0.04340517795332288,0.016152848543540484,6,5
Queens Quay/Ferry Docks Station,station,0.0009600877794541215,0.04046994327648027,0.016105901557251494,6,5
Renforth Station,station,0.0006857769853243725,0.028975315617737443,0.014121689939671188,3,3
Bloor GO Station,station,0.001097243176518996,0.044432944314456685,0.01411918482344127,7,4
