Page,Metric,Route,Year,Value,Recovery_Rate_pct
2,Vehicle Hours,20 CLIFFSIDE,2021,74,77
2,Vehicle Hours,20 CLIFFSIDE,2022,104,108
2,Vehicle Hours,20 CLIFFSIDE,2023,85,89
2,Vehicle Hours,20 CLIFFSIDE,2024,96,100
2,Vehicle Hours,21 BRIMLEY,2019,133,
2,Vehicle Hours,21 BRIMLEY,2020,138,104
2,Vehicle Hours,21 BRIMLEY,2021,120,90
2,Vehicle Hours,21 BRIMLEY,2022,119,89
2,Vehicle Hours,21 BRIMLEY,2023,111,83
2,Vehicle Hours,21 BRIMLEY,2024,112,84
2,Vehicle Hours,22 COXWELL,2019,62,
2,Vehicle Hours,22 COXWELL,2020,65,105
2,Vehicle Hours,22 COXWELL,2021,71,115
2,Vehicle Hours,22 COXWELL,2022,67,108
2,Vehicle Hours,22 COXWELL,2023,56,90
2,Vehicle Hours,22 COXWELL,2024,66,106
2,Vehicle Hours,23 DAWES,2019,74,
2,Vehicle Hours,23 DAWES,2020,59,80
2,Vehicle Hours,23 DAWES,2021,65,88
2,Vehicle Hours,23 DAWES,2022,65,88
2,Vehicle Hours,23 DAWES,2023,65,88
2,Vehicle Hours,23 DAWES,2024,76,103
2,Vehicle Hours,24 VICTORIA PARK,2019,319,
2,Vehicle Hours,24 VICTORIA PARK,2020,409,128
2,Vehicle Hours,24 VICTORIA PARK,2021,305,96
2,Vehicle Hours,24 VICTORIA PARK,2022,311,97
2,Vehicle Hours,24 VICTORIA PARK,2023,312,98
2,Vehicle Hours,24 VICTORIA PARK,2024,318,100
2,Vehicle Hours,25 DON MILLS,2019,357,
2,Vehicle Hours,25 DON MILLS,2020,371,104
2,Vehicle Hours,25 DON MILLS,2021,375,105
2,Vehicle Hours,25 DON MILLS,2022,309,87
2,Vehicle Hours,25 DON MILLS,2023,349,98
2,Vehicle Hours,25 DON MILLS,2024,360,101
2,Vehicle Hours,26 DUPONT,2019,88,
2,Vehicle Hours,26 DUPONT,2020,61,69
2,Vehicle Hours,26 DUPONT,2021,61,69
2,Vehicle Hours,26 DUPONT,2022,75,85
2,Vehicle Hours,26 DUPONT,2023,66,75
2,Vehicle Hours,26 DUPONT,2024,80,91
2,Vehicle Hours,28 BAYVIEW SOUTH,2020,33,
2,Vehicle Hours,28 BAYVIEW SOUTH,2021,20,
2,Vehicle Hours,28 BAYVIEW SOUTH,2022,23,
2,Vehicle Hours,28 BAYVIEW SOUTH,2023,29,
2,Vehicle Hours,28 BAYVIEW SOUTH,2024,29,
2,Vehicle Hours,29 DUFFERIN,2019,352,
2,Vehicle Hours,29 DUFFERIN,2020,353,100
2,Vehicle Hours,29 DUFFERIN,2021,375,107
2,Vehicle Hours,29 DUFFERIN,2022,372,106
2,Vehicle Hours,29 DUFFERIN,2023,356,101
2,Vehicle Hours,29 DUFFERIN,2024,326,93
2,Vehicle Hours,30 HIGH PARK,2019,21,
2,Vehicle Hours,30 HIGH PARK,2020,21,100
2,Vehicle Hours,30 HIGH PARK,2021,21,100
2,Vehicle Hours,30 HIGH PARK,2022,19,90
2,Vehicle Hours,30 HIGH PARK,2023,18,86
2,Vehicle Hours,30 HIGH PARK,2024,18,86
2,Vehicle Hours,31 GREENWOOD,2019,48,
2,Vehicle Hours,31 GREENWOOD,2020,48,100
2,Vehicle Hours,31 GREENWOOD,2021,37,77
2,Vehicle Hours,31 GREENWOOD,2022,47,98
2,Vehicle Hours,31 GREENWOOD,2023,70,146
2,Vehicle Hours,31 GREENWOOD,2024,70,146
2,Vehicle Hours,32 EGLINTON WEST,2019,681,
2,Vehicle Hours,32 EGLINTON WEST,2020,717,105
