Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
29,Passengers,507 LONG BRANCH,,,,,7760,9837,,,,,
29,Passengers,508 LAKESHORE,3170,,,,2575,3181,,,,81,100
29,Passengers,509 HARBOURFRONT,11010,3250,5400,10717,12711,6713,30,49,97,115,61
29,Passengers,510 SPADINA,30120,9890,15730,31487,35184,23472,33,52,105,117,78
29,Passengers,511 BATHURST,14580,6180,9790,15389,15488,22621,42,67,106,106,155
29,Passengers,512 ST.CLAIR,25560,13530,16710,26643,23490,20663,53,65,104,92,81
29,Passengers,All Local Bus Routes,1176406,627173,728038,907051,1016106,1008703,53,62,77,86,86
29,Passengers,All Express Bus Routes,215163,11339,126514,181792,212068,208463,5,59,84,99,97
29,Passengers,All Streetcar Routes,318453,117770,174020,241104,259734,247675,37,55,76,82,78
29,Passengers,All Bus Routes,1391569,638512,854552,1088843,1228174,1217166,46,61,78,88,87
29,Passengers,All Surface Routes,1710022,756282,1028572,1329947,1487908,1464841,44,60,78,87,86
