stop_id,name,degree,in_degree,out_degree,pagerank,betweenness
151,Arleta Ave at Medal Lane,2,1,1,8.10156289672358e-05,0.0012739259889408762
152,Elmhurst Dr at Genthorn Ave,2,1,1,9.235135650499922e-05,0.0004125903870693322
153,Donlands Ave at Memorial Park Ave,2,1,1,0.00010600053452480501,0.0009995746490854955
154,Birchmount Rd at Eglinton Ave East,2,1,1,0.00011062853171393727,0.006612700269388912
155,Davenport Rd at Symington Ave,3,1,2,0.00013308367094379628,0.00927832704920912
156,Yonge St at Blythwood Rd,2,1,1,0.00010453401335312946,0.007216769459804339
157,McCowan Rd at St Andrews Rd,2,1,1,0.00010483518824471122,0.0012377711612079965
159,Davisville Ave at Acacia Rd,2,1,1,0.00014223342292853122,0.007141893723702067
160,Yonge St at Bloor St West - Bloor Station,2,1,1,0.00010360069903684308,0.005440920530270806
161,Overlea Blvd at William Morgan Dr West Side,4,2,2,0.00020747640023079843,0.0006188855806039983
164,St Clair Ave East at Inglewood Dr,2,1,1,0.00017550466031592717,0.004435507043998112
165,Martin Grove Rd at Walkway to 308 Silverstone Dr,2,1,1,0.00016749401926329893,0.0014491243594417778
166,Martin Grove Rd at Redgrave Dr (North),2,1,1,8.934180961180256e-05,0.002510048915355168
167,Emmett Ave at Jane St,2,1,1,8.726045177846986e-05,0.004997063053209374
169,Albion Rd at Elmhurst Dr,3,2,1,0.0001664487983827883,0.015412718820949361
170,Arrow Rd at Finch Ave West,3,1,2,6.0994106601059156e-05,0.005483700272859141
171,Leslie St at Castlebury Cres,2,1,1,8.058121110308242e-05,0.0022425297745640154
173,Bathurst St at Saranac Blvd,2,1,1,0.00010294102790054302,0.0010998704613124012
175,Lawrence Ave East at Birchmount Rd,4,2,2,0.00011269904325913443,0.010777499483714923
176,Don Mills Rd at Chipping Rd,2,1,1,0.00010522849073589275,0.00010314759676733305
177,225 Rexdale Blvd,2,1,1,0.0001010761562998937,0.001022703105061676
178,Kingston Rd at Cromwell Rd West Side,4,2,2,0.000226613518724184,0.004941430698183144
179,Spadina Ave at Queen St West North Side,2,1,1,0.00011454575515173817,0.006687048064653339
180,Sheppard Ave East at Willowdale Ave,2,1,1,0.0001091011664114695,0.011065492331024286
181,Albion Rd at Westmore Dr East Side,2,1,1,0.00011062853171393727,0.0011346235644406637
182,Bathurst St at Walkway to Crown Heights Cres,2,1,1,6.634450844817431e-05,0.0027849851127179923
183,Coxwell Ave at Mortimer Ave - Michael Garron Hospital,2,1,1,0.00010622198474408455,0.015199135119807179
184,Warden Ave at Huntingwood Dr,2,1,1,0.00011551097899919005,0.00010314759676733305
185,Finch Ave West at Edithvale Dr,2,1,1,0.0001181646073567057,0.0016290940025521054
186,Victoria Park Ave at Sparks Ave,2,1,1,0.00010308373601363975,0.00010314759676733305
187,Bellamy Rd North at Benleigh Dr South Side,2,1,1,0.00010398273188125777,0.0010415780518928117
188,Horner Ave at Kipling Ave,2,1,1,8.438206414506532e-05,0.0009495959166312208
189,Wilmington Ave at Codsell Ave,2,1,1,0.00011062853171393727,0.000658762228838792
190,Kennedy Rd at Summer Dr North Side,2,1,1,9.023004851329216e-05,0.0075914504466184606
191,The Queensway at St Lawrence Ave,2,1,1,0.00010074536317934037,0.004863539577889856
192,Brimley Rd at Shediac Rd,2,1,1,9.557193271990532e-05,0.0007077479131924048
193,Birchmount Rd at Risebrough Circt (South),2,1,1,0.00011062853171393727,0.00010314759676733305
195,Bathurst St at Baycrest Ave,2,1,1,9.81038380756115e-05,0.0014093132516144003
196,Dovercourt Rd at Shanly St,2,1,1,8.177736546747852e-05,0.007941652285529495
197,Lawrence Ave East at Morning Dew Rd,2,1,1,9.774931944597063e-05,0.0045967141641854534
198,Weston Rd at Denison Rd West,2,1,1,9.620891597921825e-05,0.00030944279030199913
199,Bathurst St at Woburn Ave,2,1,1,0.00011889927177087688,0.001128774989366227
200,Atkinson Ave at Rosedale Heights Dr (South),2,1,1,0.00011062853171393727,0.0012377711612079965
201,Opposite 700 Arrow Rd,3,1,2,0.0001630494448103361,0.010392942880527951
202,Parliament St at Bloor St East,3,1,2,0.00018691851432291764,0.008682862410877085
203,Greenwood Ave at Athletic Ave,2,1,1,7.5351406978313e-05,0.0020361548277328797
204,Hullmar Dr at Monaco Crt,2,1,1,9.176285645982679e-05,0.005043066780093577
206,Lake Shore Blvd West at Third St,2,1,1,0.00011030916835496547,0.0043854524534022625
207,Sheppard Ave East at Victoria Park Ave,3,2,1,9.761692523176709e-05,0.004289929817099107
208,Yonge St at Wellesley St West - Wellesley Station,2,1,1,0.00010631606629058716,0.0051314777399688065
209,Victoria Park Ave at Sheppard Ave East,4,2,2,0.0001306685816682412,0.003825919844369441
210,Wilson Ave at Murray Rd,2,1,1,0.0001838169800588532,0.00010314759676733305
211,Dupont St at Dufferin St,2,1,1,0.00011062853171393727,0.00967114190538716
212,Major Mackenzie Dr East at Ridgecrest Rd,2,1,1,0.00011062853171393727,0.016425457252233093
213,O'Connor Dr at Sandra Rd,3,2,1,0.00026911725095152175,0.024229444860399775
214,King St East at Sackville St,3,2,1,0.00016899265224606933,0.008321695259700364
215,Burnhamthorpe Rd at Shaver Ave North West Side,2,1,1,0.0001109883570005061,0.002475542322415993
217,Pharmacy Ave at Dawes Rd North Side,2,1,1,0.00011022389329539708,0.004809123777116121
218,The East Mall at Capri Rd North Side,2,1,1,9.970840877705875e-05,0.003272603583854116
219,2666 Danforth Ave,4,1,3,0.00022331749217092172,0.017121240139551804
220,High Park Ave at Humberside Ave,2,1,1,7.89155609721135e-05,0.0012648872820076563
221,Danforth Ave at Hillingdon Ave,2,1,1,0.00010503781023720853,0.006319055008108564
222,Martin Grove Rd at Richgrove Dr North Side,2,1,1,0.00018651097552560832,0.002873209981568127
223,Kennedy Rd at Forbes Rd South Side,2,1,1,0.00014024204562936452,0.001132230965546576
224,44 Coe Hill Dr,2,1,1,0.00011062853171393727,0.00010314759676733305
225,Kingston Rd at Old Kingston Rd,2,1,1,8.173737321697164e-05,0.002263753012902311
226,Chisholm Ave at Crewe Ave,2,1,1,0.00011062853171393727,0.0019822763635768746
227,Wellesworth Dr at Faversham Cres,2,1,1,0.00011188070241716612,0.006379200340280732
228,Coxwell Ave at Glebeholme Blvd,3,2,1,0.00010149645670726073,0.015508577910109178
229,Queen St West at Strachan Ave,2,1,1,0.0001128941964670164,0.004964772091422069
230,Chaplin Cres at Roselawn Ave,2,1,1,9.951124472819115e-05,0.001327854408458407
231,10 Disco Rd,2,1,1,0.0001091685655341247,0.0001999149298170991
233,Willowdale Ave at Wedgewood Dr,2,1,1,9.07120543084163e-05,0.001761750319013186
235,Martin Grove Rd at Waterbury Dr,2,1,1,9.042337019219977e-05,0.001450254248699901
236,Opposite 1792 Birchmount Rd,2,1,1,0.00011062853171393727,0.005363675031901318
237,Ceramic Rd at Le Page Crt,2,1,1,7.189611033689568e-05,0.0012627225496749104
238,Crosby Ave at Warren Cres,2,1,1,0.00010130908329057444,0.006998681855238906
239,Rexdale Blvd at Frost St East Side,2,1,1,0.00010678246859427651,0.0007132603147596767
242,Birchmount Rd at Opposite Walkway to Ambercroft Blvd,3,1,2,0.00011062853171393727,0.003507018290089324
244,Roywood Dr at Fortrose Cres (West),2,1,1,9.116276145818637e-05,0.0016503615482773288
245,3370 Pharmacy Ave,2,1,1,0.00011062853171393727,0.0011298383666524883
246,Ameer Ave at Sultana Ave,2,1,1,0.00011848682519366194,0.0052451084644831985
